"change_id","exam_type","syllabus_version","change_type","description","old_term","new_term","affected_topic","effective_date","status","affected_question_ids","created_at","updated_at"
"chg_00022","it_passport","シラバスVer.2.0","other","用語例・活用例の追加、用語の見直し・整理。サンプル問題を削除","","","全体","2012-05-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00023","it_passport","シラバスVer.1.1","topic_added","項目構成を整理し、「システム活用促進・評価」を追加","","","ストラテジ系;システム戦略;システム活用促進・評価","2008-10-27","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00024","it_passport","シラバスVer.1.1","other","用語例の追加、用語の見直し・整理、サンプル問題追加(個別の追加・削除用語はIPA公表情報からは特定できない)","","","全体","2008-10-27","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00025","fe","シラバスVer.9.2","law_removed","下請法が削除された","下請法","","ストラテジ系;企業と法務;法務;取引関連法規","2026-01-08","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00026","fe","シラバスVer.9.2","law_added","中小受託取引適正化法が追加された","","中小受託取引適正化法","ストラテジ系;企業と法務;法務;取引関連法規","2026-01-08","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00027","fe","シラバスVer.9.1","term_renamed","「プロバイダ責任制限法」を削除し「情報流通プラットフォーム対処法」を追加。適用日はIPA公式情報からは特定できず、シラバスVer.9.1の掲載日(2025年4月17日)を暫定的に使用","プロバイダ責任制限法","情報流通プラットフォーム対処法","ストラテジ系;企業と法務;法務;セキュリティ関連法規;ネットワーク関連法規","2025-04-17","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00028","fe","シラバスVer.9.0","topic_added","DXを推進するために必要な知識として、ビジネス変革、デザイン、データ利活用、AI・生成AI利活用などを評価するための内容を反映","","","ストラテジ系;経営戦略;企業活動;業務分析・データ利活用;テクノロジ系;AI;データ分析","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00029","fe","シラバスVer.9.0","topic_added","「数理・データサイエンス・AI(応用基礎レベル)モデルカリキュラム」のキーワード等を取込み","","","数理・データサイエンス・AI;データ利活用;AI利活用","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00030","fe","シラバスVer.9.0","other","情報セキュリティ管理分野において、JIS改正を踏まえた用語などの表記を変更(具体的な旧用語・新用語の対応関係はIPA公表情報からは特定できない)","","","テクノロジ系;セキュリティ;情報セキュリティ管理","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00031","fe","シラバスVer.9.0","other","既に出題している用語の取込み、近年の技術動向や環境変化等を踏まえた用語例の整理(個別用語の全量はIPA公表情報からは特定できない)","","","全体","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00032","fe","シラバスVer.8.0","other","基本情報技術者試験を通年試験化し、試験構成を「科目A試験」「科目B試験」へ変更","","","試験全体;科目A;科目B","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00033","fe","シラバスVer.8.0","other","科目A試験の出題範囲は、従来の午前試験に準じる構成へ変更","","","科目A;旧午前試験相当","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00034","fe","シラバスVer.8.0","other","科目B試験は、「情報セキュリティ」と「データ構造及びアルゴリズム」を中心とする構成へ変更(重点化)","","","科目B;情報セキュリティ;データ構造及びアルゴリズム","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00035","fe","シラバスVer.8.0","topic_removed","旧午後試験の個別プログラム言語による出題を廃止し、科目Bでは擬似言語による出題へ統一","","","科目B;アルゴリズムとプログラミング","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00036","fe","シラバスVer.7.2","other","情報処理に関する主要なJIS改正に伴い、システム開発技術分野の構成・表記を変更","","","テクノロジ系;開発技術;システム開発技術","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00037","fe","シラバスVer.7.2","other","その他、シラバス用語例などを整理。試験で問う知識・技能の範囲そのものに大きな変更があったとは確認できない","","","全体、特にシステム開発技術分野","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
