"question_id","exam_type","question_type","original_question_id","question_text","passage_text","passage_group_id","passage_order","passage_total_questions","choice_a","choice_b","choice_c","choice_d","choice_e","choice_f","choice_g","choice_h","original_correct_choice","current_correct_choice","original_explanation","current_explanation","choice_a_explanation","choice_b_explanation","choice_c_explanation","choice_d_explanation","choice_e_explanation","choice_f_explanation","choice_g_explanation","choice_h_explanation","major_category","middle_category","minor_category","detail_category","related_terms","difficulty","target_mistake_type","source_year","syllabus_version","valid_from","valid_until","is_current","is_current_exam_scope","revision_note","validation_status","rule_reference_date","similar_question_blocked","created_at","updated_at"
"q_010","it_passport","original",,"[AI作成問題]会社内の同一フロアなど、比較的狭い範囲に構築されるネットワークを指す用語として、最も適切なものはどれか。",,,,,"LAN","WAN","VPN","ISP",,,,,"a","a","LAN(Local Area Network)は、オフィスや家庭内など比較的狭い範囲に構築されるネットワークを指す。","定義に変更はない。","狭い範囲のネットワークを指す用語として正しい。","WAN(Wide Area Network)は、地理的に離れた拠点間を結ぶ広域のネットワークを指す。","VPNは、公衆回線上に構築される仮想的な専用回線である。","ISPはインターネットへの接続を提供する事業者である。",,,,,"テクノロジ系","技術要素","ネットワーク","ネットワーク方式","WAN;VPN;ネットワーク","1",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_011","it_passport","original",,"[AI作成問題]OSやミドルウェアなどのアプリケーション実行基盤までが提供され、利用者は独自に開発したアプリケーションの実行に専念できるクラウドサービスの形態として、最も適切なものはどれか。",,,,,"SaaS","PaaS","IaaS","DaaS",,,,,"b","b","PaaS(Platform as a Service)は、OSやミドルウェアなどのアプリケーション実行基盤を提供する形態である。","定義に変更はない。","SaaSは完成したアプリケーションソフトウェアそのものを提供する形態である。","アプリケーション実行基盤を提供する形態であり、正しい。","IaaSはサーバやストレージなどのインフラを提供する形態である。","DaaSはデスクトップ環境を仮想的に提供する形態である。",,,,,"ストラテジ系","システム戦略","システム戦略","ソリューションビジネス","SaaS;IaaS;DaaS","3",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_012","it_passport","original",,"[AI作成問題]外部ネットワークと内部ネットワークの境界に設置し、あらかじめ設定した通信ルールに基づいて通過させるパケットを制御する仕組みとして、最も適切なものはどれか。",,,,,"ファイアウォール","ルータ","スイッチングハブ","リピータ",,,,,"a","a","ファイアウォールは、あらかじめ設定した通信ルールに基づき通過させるパケットを制御し、外部からの不正アクセスを防ぐ仕組みである。","定義に変更はない。","通信ルールに基づきパケットの通過を制御する仕組みであり、正しい。","ルータは、ネットワーク間の経路選択(ルーティング)を行う機器である。","スイッチングハブは、LAN内でデータを中継する機器である。","リピータは、伝送距離を延ばすために信号を増幅・整形する機器である。",,,,,"テクノロジ系","技術要素","セキュリティ","情報セキュリティ対策・情報セキュリティ実装技術","ルータ;IDS/IPS;アクセス制御","2",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_013","it_passport","original",,"[AI作成問題]マーケティングミックス(4P)に含まれる要素として、適切でないものはどれか。",,,,,"Product(製品)","Price(価格)","Place(流通)","Profit(利益)",,,,,"d","d","マーケティングミックス(4P)は、Product・Price・Place・Promotionの4要素で構成され、Profit(利益)は4Pに含まれない。","定義に変更はない。","Product(製品)は4Pに含まれる要素である。","Price(価格)は4Pに含まれる要素である。","Place(流通)は4Pに含まれる要素である。","Profit(利益)は4Pの構成要素ではなく、正しくはPromotion(販売促進)である。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","マーケティング","Promotion;マーケティング戦略","2",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_014","it_passport","original",,"[IPA公開問題 令和8年度 問1] 生成AIを用いた生成物の取扱いに関して，既存の著作物の著作権者から許諾を得ることが必要となる可能性のあるものだけを，全て挙げたものはどれか。
a　好みのアーティストの楽曲に似た音楽が得られるように生成AIを用いて楽曲を生成し，その楽曲をインターネット上にアップロードし，無料で公開した。
b　好みのアーティストの楽曲に似た音楽が得られるように生成AIを用いて楽曲を生成し，その楽曲を自分のPC上に保管し，個人で視聴した。
c　生成AIで音楽を生成したところ，偶然好みのアーティストの楽曲に似た音楽が生成できたので，自分のPC上に保管し，個人で視聴した。",,,,,"a","a, b","a, b, c","b, c",,,,,"a","a","公開・配布を伴う場合にのみ著作権者の許諾が必要となる可能性があり、私的な個人使用にとどまるb・cは私的使用の範囲内と考えられるため、許諾が必要なのはaだけである。","公開・配布を伴う場合にのみ著作権者の許諾が必要となる可能性があり、私的な個人使用にとどまるb・cは私的使用の範囲内と考えられるため、許諾が必要なのはaだけである。","正しい。既存の楽曲に似せて生成し、それをインターネット上で無料公開する行為は、著作権者の許諾が必要となる可能性がある。","誤り。個人のPC上に保管し個人で視聴するだけであれば私的使用の範囲内であり、原則として許諾は不要である。","誤り。偶然の類似かつ個人視聴のみであり、許諾は不要である。","誤り。aを含めておらず、逆に許諾不要のb・cを含んでいる。",,,,,"ストラテジ系","企業と法務","法務","知的財産権","著作権法;生成AI;私的使用;依拠性","4",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_015","it_passport","original",,"[IPA公開問題 令和8年度 問2] BYODに関する記述として，適切なものはどれか。",,,,,"企業の業務に，従業員が私物の携帯情報端末を許可を得た上で利用すること","企業の業務の定型的な作業をソフトウェアのロボットで効率化すること","企業の業務の流れを分析し，継続的に改善，最適化していくこと","企業の業務の流れを見直し，抜本的にデザインし直すこと",,,,,"a","a","BYOD（Bring Your Own Device）とは、従業員が私物の携帯情報端末を許可を得た上で業務に利用することを指す。","BYOD（Bring Your Own Device）とは、従業員が私物の携帯情報端末を許可を得た上で業務に利用することを指す。","正しい。BYODの定義そのものである。","誤り。これはRPAの説明である。","誤り。これは業務改善・BPMなどの継続的改善の説明である。","誤り。これはBPR（業務プロセス再設計）の説明である。",,,,,"ストラテジ系","システム戦略","システム戦略","システム活用促進・評価","MDM;RPA;BPR;私物端末業務利用","1",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_016","it_passport","original",,"[IPA公開問題 令和8年度 問3] 投資会社であるA社が，それぞれの投資戦略を採る場合の利益は，表のように予想される。A社がマクシミン戦略を採り，かつ，市況が好転した場合の利益はどれか。マクシミン戦略とは，戦略ごとに予想される利益の最小値が最も大きくなるように戦略を採用する理論である。
[表（単位省略）]
投資戦略a：市況が好転＝20，市況が悪化＝－15
投資戦略b：市況が好転＝5，市況が悪化＝0",,,,,"-15","0","5","20",,,,,"c","c","各戦略の最小値を比較すると、投資戦略aの最小値は-15、投資戦略bの最小値は0であり、0のほうが大きいためマクシミン戦略では投資戦略bが選ばれる。市況が好転した場合の投資戦略bの利益は5である。","各戦略の最小値を比較すると、投資戦略aの最小値は-15、投資戦略bの最小値は0であり、0のほうが大きいためマクシミン戦略では投資戦略bが選ばれる。市況が好転した場合の投資戦略bの利益は5である。","誤り。-15は投資戦略aが市況悪化時に得る利益であり、選ばれる戦略の値ではない。","誤り。0は投資戦略bが市況悪化時に得る利益であり、好転時の値ではない。","正しい。マクシミン戦略で選ばれる投資戦略bの、市況好転時の利益である。","誤り。20は投資戦略aが市況好転時に得る利益だが、マクシミン戦略では投資戦略aは選ばれない。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","経営戦略手法","ゲーム理論;期待値;マクシマックス戦略","3",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_017","it_passport","original",,"[IPA公開問題 令和8年度 問4] 特定の目的の達成や課題の解決をテーマとして，ソフトウェアの開発者や企画者などが短期集中的にアイディアを出し合い，ソフトウェアの開発などの共同作業を行い，成果を競い合うイベントはどれか。",,,,,"トレードフェア","ハッカソン","パネルディスカッション","レセプション",,,,,"b","b","短期集中的に開発者らがアイディアを出し合い共同でソフトウェア開発を行い成果を競うイベントは、ハッカソンと呼ばれる。","短期集中的に開発者らがアイディアを出し合い共同でソフトウェア開発を行い成果を競うイベントは、ハッカソンと呼ばれる。","誤り。トレードフェアは商業目的の展示会である。","正しい。ハッカソンの定義に合致する。","誤り。パネルディスカッションは専門家による討論形式のイベントである。","誤り。レセプションは交流を目的とした社交イベントである。",,,,,"ストラテジ系","経営戦略","技術戦略マネジメント","技術開発戦略の立案・技術開発計画","アイディアソン;オープンイノベーション;スタートアップ","1",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_018","it_passport","original",,"[IPA公開問題 令和8年度 問5] インターネットを利用した企業広告に関する新たなビジネスモデルを知的財産として出願し，コンピュータシステムとして実現した。このビジネスモデルを知的財産として，保護する法律はどれか。",,,,,"意匠法","実用新案法","著作権法","特許法",,,,,"d","d","コンピュータシステムとして実現された新規のビジネスモデルは、特許性の要件を満たせば「ビジネスモデル特許」として特許法により保護され得る。","コンピュータシステムとして実現された新規のビジネスモデルは、特許性の要件を満たせば「ビジネスモデル特許」として特許法により保護され得る。","誤り。意匠法は物品の形状・模様などの意匠（デザイン）を保護する法律であり、ビジネスモデルは対象外である。","誤り。実用新案法は物品の構造・形状に関する考案を保護するものであり、無体のビジネスモデルは対象外である。","誤り。著作権法はプログラムの表現などの創作的表現を保護するものであり、ビジネスモデルのアイディア自体は対象外である。","正しい。コンピュータシステムを利用した新規性・進歩性のあるビジネス関連発明は特許法で保護され得る。",,,,,"ストラテジ系","企業と法務","法務","知的財産権","特許法;知的財産権;意匠法;著作権法","2",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_019","it_passport","original",,"[IPA公開問題 令和8年度 問6] デジタルトランスフォーメーションに関する説明として，最も適切なものはどれか。",,,,,"PCやスマートフォンなどのデジタル製品を使いこなせる人と，使いこなせない人の間で様々な機会に差が生じて，社会的な格差につながること","生まれた時からインターネット，PCやスマートフォンなどのデジタル製品が身近にあり，それらを利用しながら育った世代のこと","音声を収集するマイクロフォンなどからのアナログ信号を，電子ファイルとして保存するためにデジタル信号に変換すること","デジタル技術が，人間の生活やビジネスなどのあらゆる面に影響を与え，変革をもたらしていくこと",,,,,"d","d","デジタルトランスフォーメーション（DX）とは、デジタル技術が人々の生活やビジネスなどのあらゆる面に影響を与え、変革をもたらしていくことを指す。","デジタルトランスフォーメーション（DX）とは、デジタル技術が人々の生活やビジネスなどのあらゆる面に影響を与え、変革をもたらしていくことを指す。","誤り。これは「デジタルディバイド」の説明である。","誤り。これは「デジタルネイティブ」の説明である。","誤り。これはアナログ信号をデジタル信号に変換する「デジタイゼーション」に近い、より狭い技術的処理の説明である。","正しい。DXの定義に合致する。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","経営戦略手法","デジタルディバイド;デジタルネイティブ;デジタイゼーション;デジタライゼーション","2",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_020","it_passport","original",,"[IPA公開問題 令和8年度 問7] 製品やサービスの価値を機能とコストの関係で把握し，価値の向上をはかる“バリューエンジニアリング”という手法がある。バリューエンジニアリングにおける価値，機能，コストの関係性を示すものとして，適切なものはどれか。",,,,,"価値＝機能／（コスト＋機能）","価値＝機能／コスト","価値＝機能×コスト","価値＝コスト／機能",,,,,"b","b","バリューエンジニアリングでは、価値（V）は機能（F）をコスト（C）で割ったもの、すなわちV＝F／Cと定義される。","バリューエンジニアリングでは、価値（V）は機能（F）をコスト（C）で割ったもの、すなわちV＝F／Cと定義される。","誤り。VEの標準的な定義式ではない。","正しい。VEにおける価値の定義式に合致する。","誤り。機能とコストを乗じても価値を表さない。","誤り。これは価値の定義式の逆数であり誤りである。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","経営戦略手法","QCD;コストダウン;機能分析","2",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_021","it_passport","original",,"[IPA公開問題 令和8年度 問8] IoTを利用したシステムの事例として，最も適切なものはどれか。",,,,,"資金調達において，不特定多数の借り手と貸し手をインターネット上で仲介するサービスを行う。","ソーシャルメディアへの書込みや，コールセンターの通話内容などから，商品やサービスに対する利用者の感情を分析する。","店舗や工場などの設備に設置したセンサーの情報をインターネット経由で集め，設備の状況について，従業員がスマートフォンを用いて監視する。","文書や画像などの電子ファイルを保存するためのインターネット上のストレージを，サービスとして提供する。",,,,,"c","c","設備に設置したセンサーの情報をインターネット経由で収集し、スマートフォンで監視するという流れは、典型的なIoTシステムの活用事例である。","設備に設置したセンサーの情報をインターネット経由で収集し、スマートフォンで監視するという流れは、典型的なIoTシステムの活用事例である。","誤り。これはクラウドファンディングやP2Pレンディングなど、フィンテックの事例である。","誤り。これはテキスト・感情分析（AI・データ分析）の事例であり、IoT固有の説明ではない。","正しい。センサーとインターネットを通じた遠隔監視は代表的なIoT活用事例である。","誤り。これはクラウドストレージサービスの説明であり、IoTのセンシングとは無関係である。",,,,,"ストラテジ系","経営戦略","ビジネスインダストリ","IoTシステム・組込みシステム","IoT;センサー;M2M;クラウド","2",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_022","it_passport","original",,"[IPA公開問題 令和8年度 問9] 製品の製造に関連して発生する次の費用のうち，間接費だけを全て挙げたものはどれか。
a　完成した製品を検査する労務費
b　工場の電気供給設備を保守する労務費
c　製品の外注加工費",,,,,"a, b","b","b, c","c",,,,,"b","b","特定の製品に直接跡付けられない、工場の電気供給設備の保守にかかる労務費（b）だけが間接費である。製品検査の労務費（a）や外注加工費（c）は特定の製品に直接跡付けられる直接費である。","特定の製品に直接跡付けられない、工場の電気供給設備の保守にかかる労務費（b）だけが間接費である。製品検査の労務費（a）や外注加工費（c）は特定の製品に直接跡付けられる直接費である。","誤り。直接費であるaを誤って含んでいる。","正しい。bのみが間接費である。","誤り。直接費であるcを誤って含んでいる。","誤り。cは直接費であり間接費ではない。",,,,,"ストラテジ系","企業と法務","企業活動","会計・財務","原価計算;製造原価;労務費","3",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
"q_023","it_passport","original",,"[IPA公開問題 令和8年度 問10] 会議に関する記述のうち，ブレーンストーミングの進め方として，適切なものだけを全て挙げたものはどれか。
a　自由奔放なアイディアは控え，実現可能なアイディアの提出を求める。
b　ほかのメンバーのアイディアに便乗した案であっても，とがめずに進める。
c　メンバーから出されるアイディアの中で，テーマに適したものを選択しながら進める。",,,,,"a","a, b","a, b, c","b",,,,,"d","d","ブレーンストーミングでは批判厳禁・自由奔放・質より量・便乗歓迎の原則があり、他者の案への便乗を咎めない（b）ことのみが適切である。","ブレーンストーミングでは批判厳禁・自由奔放・質より量・便乗歓迎の原則があり、他者の案への便乗を咎めない（b）ことのみが適切である。","誤り。自由奔放なアイディアを控えることはブレーンストーミングの原則に反する。","誤り。原則違反であるaを含んでいる。","誤り。会議中に案を選別すること（c）は評価・批判を避ける原則に反する。","正しい。便乗を咎めないことはブレーンストーミングの原則に合致する。",,,,,"ストラテジ系","企業と法務","企業活動","経営・組織論","KJ法;アイディア発想法;会議手法","2",,"2026","シラバスVer.6.5","2026-01-08",,"true","true",,"not_applicable","2026-01-08","false","2026-07-05T20:00:00.000Z","2026-07-05T20:00:00.000Z"
